district,lat,lon,climate_risk,number_of_schools,school_access_index
Dhaka,23.8103,90.4125,3,950,92
Chattogram,22.3569,91.7832,7,820,88
Rajshahi,24.3636,88.6241,4,700,85
Khulna,22.8456,89.5403,6,520,80
Barisal,22.7010,90.3535,8,430,76
Sylhet,24.8949,91.8687,6,480,79
Rangpur,25.7439,89.2752,5,550,82
Mymensingh,24.7471,90.4203,5,500,81
Bhola,22.6859,90.6455,9,190,65
Satkhira,22.7131,89.0723,10,210,63
Cox's Bazar,21.4272,92.0058,9,310,70
Bogura,24.8481,89.3730,4,620,84
Cumilla,23.4607,91.1809,5,780,87
